Sveitarfélag	Aldur	Ár	Kyn	Mannfjöldi eftir sveitarfélagi, kyni og aldri 1. janúar 1998-2024
Mosfellsbær	Alls	2021	Alls	12341
Mosfellsbær	Alls	2022	Alls	12768
Mosfellsbær	Alls	2023	Alls	13091
Mosfellsbær	Alls	2024	Alls	13403
Kjósarhreppur	Alls	2006	Alls	163
Kjósarhreppur	Alls	2007	Alls	182
Kjósarhreppur	Alls	2008	Alls	191
Kjósarhreppur	Alls	2009	Alls	196
Kjósarhreppur	Alls	2010	Alls	197
Kjósarhreppur	Alls	2011	Alls	205
Kjósarhreppur	Alls	2012	Alls	212
Kjósarhreppur	Alls	2013	Alls	198
Kjósarhreppur	Alls	2014	Alls	213
Kjósarhreppur	Alls	2015	Alls	207
Kjósarhreppur	Alls	2016	Alls	211
Kjósarhreppur	Alls	2017	Alls	213
Kjósarhreppur	Alls	2018	Alls	218
Kjósarhreppur	Alls	2019	Alls	233
Kjósarhreppur	Alls	2020	Alls	233
Kjósarhreppur	Alls	2021	Alls	235
Kjósarhreppur	Alls	2022	Alls	235
Kjósarhreppur	Alls	2023	Alls	275
Kjósarhreppur	Alls	2024	Alls	269
Reykjanesbær	Alls	2006	Alls	11367
Reykjanesbær	Alls	2007	Alls	11952
Reykjanesbær	Alls	2008	Alls	13440
Reykjanesbær	Alls	2009	Alls	14172
Reykjanesbær	Alls	2010	Alls	14091
Reykjanesbær	Alls	2011	Alls	13689
Reykjanesbær	Alls	2012	Alls	13894
Reykjanesbær	Alls	2013	Alls	14014
Reykjanesbær	Alls	2014	Alls	14317
Reykjanesbær	Alls	2015	Alls	14658
Reykjanesbær	Alls	2016	Alls	14942
Reykjanesbær	Alls	2017	Alls	16057
Reykjanesbær	Alls	2018	Alls	17385
Reykjanesbær	Alls	2019	Alls	18409
Reykjanesbær	Alls	2020	Alls	18622
Reykjanesbær	Alls	2021	Alls	18751
Reykjanesbær	Alls	2022	Alls	19437
Reykjanesbær	Alls	2023	Alls	20990
Reykjanesbær	Alls	2024	Alls	21957
Grindavíkurbær	Alls	2006	Alls	2614
Grindavíkurbær	Alls	2007	Alls	2701
Grindavíkurbær	Alls	2008	Alls	2779
Grindavíkurbær	Alls	2009	Alls	2850
Grindavíkurbær	Alls	2010	Alls	2837
Grindavíkurbær	Alls	2011	Alls	2773
Grindavíkurbær	Alls	2012	Alls	2778
Grindavíkurbær	Alls	2013	Alls	2829
Grindavíkurbær	Alls	2014	Alls	2855
Grindavíkurbær	Alls	2015	Alls	2955
Grindavíkurbær	Alls	2016	Alls	3082
Grindavíkurbær	Alls	2017	Alls	3179
Grindavíkurbær	Alls	2018	Alls	3283
Grindavíkurbær	Alls	2019	Alls	3375
Grindavíkurbær	Alls	2020	Alls	3419
Grindavíkurbær	Alls	2021	Alls	3440
Grindavíkurbær	Alls	2022	Alls	3479
Grindavíkurbær	Alls	2023	Alls	3562
Grindavíkurbær	Alls	2024	Alls	3579
Sveitarfélagið Vogar	Alls	2006	Alls	1019
Sveitarfélagið Vogar	Alls	2007	Alls	1112
Sveitarfélagið Vogar	Alls	2008	Alls	1231
Sveitarfélagið Vogar	Alls	2009	Alls	1218
Sveitarfélagið Vogar	Alls	2010	Alls	1206
Sveitarfélagið Vogar	Alls	2011	Alls	1138
Sveitarfélagið Vogar	Alls	2012	Alls	1107
Sveitarfélagið Vogar	Alls	2013	Alls	1095
Sveitarfélagið Vogar	Alls	2014	Alls	1108
Sveitarfélagið Vogar	Alls	2015	Alls	1089
Sveitarfélagið Vogar	Alls	2016	Alls	1133
Sveitarfélagið Vogar	Alls	2017	Alls	1185
Sveitarfélagið Vogar	Alls	2018	Alls	1250
Sveitarfélagið Vogar	Alls	2019	Alls	1250
Sveitarfélagið Vogar	Alls	2020	Alls	1268
Sveitarfélagið Vogar	Alls	2021	Alls	1293
Sveitarfélagið Vogar	Alls	2022	Alls	1310
Sveitarfélagið Vogar	Alls	2023	Alls	1337
Sveitarfélagið Vogar	Alls	2024	Alls	1500
Suðurnesjabær	Alls	2006	Alls	2915
Suðurnesjabær	Alls	2007	Alls	3147
Suðurnesjabær	Alls	2008	Alls	3209
Suðurnesjabær	Alls	2009	Alls	3304
Suðurnesjabær	Alls	2010	Alls	3225
Suðurnesjabær	Alls	2011	Alls	3076
Suðurnesjabær	Alls	2012	Alls	3092
Suðurnesjabær	Alls	2013	Alls	2960
Suðurnesjabær	Alls	2014	Alls	2971
Suðurnesjabær	Alls	2015	Alls	2960
Suðurnesjabær	Alls	2016	Alls	2959
Suðurnesjabær	Alls	2017	Alls	3180
Suðurnesjabær	Alls	2018	Alls	3335
Suðurnesjabær	Alls	2019	Alls	3429
Suðurnesjabær	Alls	2020	Alls	3526
Suðurnesjabær	Alls	2021	Alls	3558
Suðurnesjabær	Alls	2022	Alls	3648
Suðurnesjabær	Alls	2023	Alls	3820
Suðurnesjabær	Alls	2024	Alls	3897
Akraneskaupstaður	Alls	2006	Alls	5786
Akraneskaupstaður	Alls	2007	Alls	5976
Akraneskaupstaður	Alls	2008	Alls	6401
Akraneskaupstaður	Alls	2009	Alls	6609
Akraneskaupstaður	Alls	2010	Alls	6549
Akraneskaupstaður	Alls	2011	Alls	6546
Akraneskaupstaður	Alls	2012	Alls	6518
Akraneskaupstaður	Alls	2013	Alls	6552
Akraneskaupstaður	Alls	2014	Alls	6624
Akraneskaupstaður	Alls	2015	Alls	6703
Akraneskaupstaður	Alls	2016	Alls	6841
Akraneskaupstaður	Alls	2017	Alls	6980
Akraneskaupstaður	Alls	2018	Alls	7184
Akraneskaupstaður	Alls	2019	Alls	7308
Akraneskaupstaður	Alls	2020	Alls	7408
Akraneskaupstaður	Alls	2021	Alls	7551
Akraneskaupstaður	Alls	2022	Alls	7693
Akraneskaupstaður	Alls	2023	Alls	7854
Akraneskaupstaður	Alls	2024	Alls	8071
Skorradalshreppur	Alls	2006	Alls	64
Skorradalshreppur	Alls	2007	Alls	56
Skorradalshreppur	Alls	2008	Alls	61
Skorradalshreppur	Alls	2009	Alls	57
Skorradalshreppur	Alls	2010	Alls	61
Skorradalshreppur	Alls	2011	Alls	52
Skorradalshreppur	Alls	2012	Alls	55
Skorradalshreppur	Alls	2013	Alls	52
Skorradalshreppur	Alls	2014	Alls	51
Skorradalshreppur	Alls	2015	Alls	56
Skorradalshreppur	Alls	2016	Alls	52
Skorradalshreppur	Alls	2017	Alls	57
Skorradalshreppur	Alls	2018	Alls	54
Skorradalshreppur	Alls	2019	Alls	56
Skorradalshreppur	Alls	2020	Alls	63
Skorradalshreppur	Alls	2021	Alls	60
Skorradalshreppur	Alls	2022	Alls	57
Skorradalshreppur	Alls	2023	Alls	75
Skorradalshreppur	Alls	2024	Alls	52
Hvalfjarðarsveit	Alls	2006	Alls	605
Hvalfjarðarsveit	Alls	2007	Alls	608
Hvalfjarðarsveit	Alls	2008	Alls	686
Hvalfjarðarsveit	Alls	2009	Alls	641
Hvalfjarðarsveit	Alls	2010	Alls	624
Hvalfjarðarsveit	Alls	2011	Alls	606
Hvalfjarðarsveit	Alls	2012	Alls	615
Hvalfjarðarsveit	Alls	2013	Alls	603
Hvalfjarðarsveit	Alls	2014	Alls	610
Hvalfjarðarsveit	Alls	2015	Alls	631
Hvalfjarðarsveit	Alls	2016	Alls	619
Hvalfjarðarsveit	Alls	2017	Alls	630
Hvalfjarðarsveit	Alls	2018	Alls	642
Hvalfjarðarsveit	Alls	2019	Alls	630
Hvalfjarðarsveit	Alls	2020	Alls	622
Hvalfjarðarsveit	Alls	2021	Alls	637
Hvalfjarðarsveit	Alls	2022	Alls	674
Hvalfjarðarsveit	Alls	2023	Alls	749
Hvalfjarðarsveit	Alls	2024	Alls	727
Borgarbyggð	Alls	2006	Alls	3640
Borgarbyggð	Alls	2007	Alls	3710
Borgarbyggð	Alls	2008	Alls	3781
Borgarbyggð	Alls	2009	Alls	3744
Borgarbyggð	Alls	2010	Alls	3542
Borgarbyggð	Alls	2011	Alls	3426
Borgarbyggð	Alls	2012	Alls	3423
Borgarbyggð	Alls	2013	Alls	3420
Borgarbyggð	Alls	2014	Alls	3496
Borgarbyggð	Alls	2015	Alls	3496
Borgarbyggð	Alls	2016	Alls	3580
Borgarbyggð	Alls	2017	Alls	3626
Borgarbyggð	Alls	2018	Alls	3695
Borgarbyggð	Alls	2019	Alls	3724
Borgarbyggð	Alls	2020	Alls	3730
Borgarbyggð	Alls	2021	Alls	3621
Borgarbyggð	Alls	2022	Alls	3749
Borgarbyggð	Alls	2023	Alls	3934
Borgarbyggð	Alls	2024	Alls	4100
Grundarfjarðarbær	Alls	2006	Alls	975
Grundarfjarðarbær	Alls	2007	Alls	949
Grundarfjarðarbær	Alls	2008	Alls	918
Grundarfjarðarbær	Alls	2009	Alls	925
Grundarfjarðarbær	Alls	2010	Alls	904
Grundarfjarðarbær	Alls	2011	Alls	880
Grundarfjarðarbær	Alls	2012	Alls	890
Grundarfjarðarbær	Alls	2013	Alls	887
Grundarfjarðarbær	Alls	2014	Alls	852
Grundarfjarðarbær	Alls	2015	Alls	876
Grundarfjarðarbær	Alls	2016	Alls	879
Grundarfjarðarbær	Alls	2017	Alls	850
Grundarfjarðarbær	Alls	2018	Alls	853
Grundarfjarðarbær	Alls	2019	Alls	842
Grundarfjarðarbær	Alls	2020	Alls	841
Grundarfjarðarbær	Alls	2021	Alls	833
Grundarfjarðarbær	Alls	2022	Alls	807
Grundarfjarðarbær	Alls	2023	Alls	827
Grundarfjarðarbær	Alls	2024	Alls	821
Eyja- og Miklaholtshreppur	Alls	2006	Alls	139
Eyja- og Miklaholtshreppur	Alls	2007	Alls	140
Eyja- og Miklaholtshreppur	Alls	2008	Alls	128
Eyja- og Miklaholtshreppur	Alls	2009	Alls	129
Eyja- og Miklaholtshreppur	Alls	2010	Alls	139
Eyja- og Miklaholtshreppur	Alls	2011	Alls	132
Eyja- og Miklaholtshreppur	Alls	2012	Alls	130
Eyja- og Miklaholtshreppur	Alls	2013	Alls	153
Eyja- og Miklaholtshreppur	Alls	2014	Alls	146
Eyja- og Miklaholtshreppur	Alls	2015	Alls	140
Eyja- og Miklaholtshreppur	Alls	2016	Alls	133
Eyja- og Miklaholtshreppur	Alls	2017	Alls	120
Eyja- og Miklaholtshreppur	Alls	2018	Alls	124
Eyja- og Miklaholtshreppur	Alls	2019	Alls	117
Eyja- og Miklaholtshreppur	Alls	2020	Alls	123
Eyja- og Miklaholtshreppur	Alls	2021	Alls	113
Eyja- og Miklaholtshreppur	Alls	2022	Alls	100
Eyja- og Miklaholtshreppur	Alls	2023	Alls	112
Eyja- og Miklaholtshreppur	Alls	2024	Alls	123
Snæfellsbær	Alls	2006	Alls	1731
Snæfellsbær	Alls	2007	Alls	1709
Snæfellsbær	Alls	2008	Alls	1716
Snæfellsbær	Alls	2009	Alls	1717
Snæfellsbær	Alls	2010	Alls	1702
Snæfellsbær	Alls	2011	Alls	1702
Snæfellsbær	Alls	2012	Alls	1713
Snæfellsbær	Alls	2013	Alls	1706
Snæfellsbær	Alls	2014	Alls	1676
Snæfellsbær	Alls	2015	Alls	1654
Snæfellsbær	Alls	2016	Alls	1626
Snæfellsbær	Alls	2017	Alls	1611
Snæfellsbær	Alls	2018	Alls	1631
Snæfellsbær	Alls	2019	Alls	1646
Snæfellsbær	Alls	2020	Alls	1628
Snæfellsbær	Alls	2021	Alls	1627
Snæfellsbær	Alls	2022	Alls	1607
Snæfellsbær	Alls	2023	Alls	1632
Snæfellsbær	Alls	2024	Alls	1617
Sveitarfélagið Stykkishólmur	Alls	2006	Alls	1220
Sveitarfélagið Stykkishólmur	Alls	2007	Alls	1200
Sveitarfélagið Stykkishólmur	Alls	2008	Alls	1169
Sveitarfélagið Stykkishólmur	Alls	2009	Alls	1171
Sveitarfélagið Stykkishólmur	Alls	2010	Alls	1155
Sveitarfélagið Stykkishólmur	Alls	2011	Alls	1141
Sveitarfélagið Stykkishólmur	Alls	2012	Alls	1150
Sveitarfélagið Stykkishólmur	Alls	2013	Alls	1155
Sveitarfélagið Stykkishólmur	Alls	2014	Alls	1134
Sveitarfélagið Stykkishólmur	Alls	2015	Alls	1151
Sveitarfélagið Stykkishólmur	Alls	2016	Alls	1158
Sveitarfélagið Stykkishólmur	Alls	2017	Alls	1200
Sveitarfélagið Stykkishólmur	Alls	2018	Alls	1215
Sveitarfélagið Stykkishólmur	Alls	2019	Alls	1243
Sveitarfélagið Stykkishólmur	Alls	2020	Alls	1242
Sveitarfélagið Stykkishólmur	Alls	2021	Alls	1228
Sveitarfélagið Stykkishólmur	Alls	2022	Alls	1252
Sveitarfélagið Stykkishólmur	Alls	2023	Alls	1264
Sveitarfélagið Stykkishólmur	Alls	2024	Alls	1266
Dalabyggð	Alls	2006	Alls	717
Dalabyggð	Alls	2007	Alls	681
Dalabyggð	Alls	2008	Alls	709
Dalabyggð	Alls	2009	Alls	714
Dalabyggð	Alls	2010	Alls	694
Dalabyggð	Alls	2011	Alls	679
Dalabyggð	Alls	2012	Alls	682
Dalabyggð	Alls	2013	Alls	661
Dalabyggð	Alls	2014	Alls	669
Dalabyggð	Alls	2015	Alls	677
Dalabyggð	Alls	2016	Alls	676
Dalabyggð	Alls	2017	Alls	666
Dalabyggð	Alls	2018	Alls	657
Dalabyggð	Alls	2019	Alls	663
Dalabyggð	Alls	2020	Alls	624
Dalabyggð	Alls	2021	Alls	607
Dalabyggð	Alls	2022	Alls	652
Dalabyggð	Alls	2023	Alls	637
Dalabyggð	Alls	2024	Alls	642
Bolungarvíkurkaupstaður	Alls	2006	Alls	920
Bolungarvíkurkaupstaður	Alls	2007	Alls	902
Bolungarvíkurkaupstaður	Alls	2008	Alls	908
Bolungarvíkurkaupstaður	Alls	2009	Alls	966
Bolungarvíkurkaupstaður	Alls	2010	Alls	970
Bolungarvíkurkaupstaður	Alls	2011	Alls	877
Bolungarvíkurkaupstaður	Alls	2012	Alls	874
Bolungarvíkurkaupstaður	Alls	2013	Alls	906
Bolungarvíkurkaupstaður	Alls	2014	Alls	934
Bolungarvíkurkaupstaður	Alls	2015	Alls	903
Bolungarvíkurkaupstaður	Alls	2016	Alls	889
Bolungarvíkurkaupstaður	Alls	2017	Alls	891
Bolungarvíkurkaupstaður	Alls	2018	Alls	929
Bolungarvíkurkaupstaður	Alls	2019	Alls	939
Bolungarvíkurkaupstaður	Alls	2020	Alls	928
Bolungarvíkurkaupstaður	Alls	2021	Alls	938
Bolungarvíkurkaupstaður	Alls	2022	Alls	937
Bolungarvíkurkaupstaður	Alls	2023	Alls	973
Bolungarvíkurkaupstaður	Alls	2024	Alls	989
Ísafjarðarbær	Alls	2006	Alls	4108
Ísafjarðarbær	Alls	2007	Alls	4090
Ísafjarðarbær	Alls	2008	Alls	3976
Ísafjarðarbær	Alls	2009	Alls	3972
Ísafjarðarbær	Alls	2010	Alls	3899
Ísafjarðarbær	Alls	2011	Alls	3795
Ísafjarðarbær	Alls	2012	Alls	3708
Ísafjarðarbær	Alls	2013	Alls	3685
Ísafjarðarbær	Alls	2014	Alls	3570
Ísafjarðarbær	Alls	2015	Alls	3550
Ísafjarðarbær	Alls	2016	Alls	3552
Ísafjarðarbær	Alls	2017	Alls	3556
Ísafjarðarbær	Alls	2018	Alls	3645
Ísafjarðarbær	Alls	2019	Alls	3722
Ísafjarðarbær	Alls	2020	Alls	3712
Ísafjarðarbær	Alls	2021	Alls	3670
Ísafjarðarbær	Alls	2022	Alls	3716
Ísafjarðarbær	Alls	2023	Alls	3730
Ísafjarðarbær	Alls	2024	Alls	3797
Reykhólahreppur	Alls	2006	Alls	251
Reykhólahreppur	Alls	2007	Alls	255
Reykhólahreppur	Alls	2008	Alls	267
