sveitarfel,year,property_type,total_price,total_area,average_price_per_sqm
Sveitarfélagið Árborg,2011,Sérbýli,15300,72,212.5
Sveitarfélagið Árborg,2012,Sérbýli,19258,91,211.62637362637363
Sveitarfélagið Árborg,2013,Einbýli,43500,214,203.2710280373832
Sveitarfélagið Árborg,2013,Fjölbýli,20400,95,214.73684210526315
Sveitarfélagið Árborg,2013,Sumarhús,3700,18,205.55555555555554
Sveitarfélagið Árborg,2013,Sérbýli,21300,100,213
Sveitarfélagið Árborg,2014,Atvinnuhúsnæði,226000,1086,208.10313075506446
Sveitarfélagið Árborg,2014,Fjölbýli,19000,95,200
Sveitarfélagið Árborg,2014,Sérbýli,74300,353,210.4815864022663
Sveitarfélagið Árborg,2015,Fjölbýli,42100,190,221.57894736842104
Sveitarfélagið Árborg,2015,Sérbýli,145543,656,221.8643292682927
Sveitarfélagið Árborg,2016,Einbýli,212450,990,214.59595959595958
Sveitarfélagið Árborg,2016,Fjölbýli,75300,278,270.863309352518
Sveitarfélagið Árborg,2016,Sérbýli,369000,1504,245.34574468085106
Sveitarfélagið Árborg,2017,Atvinnuhúsnæði,360000,1086,331.49171270718233
Sveitarfélagið Árborg,2017,Einbýli,346000,1354,255.53914327917283
Sveitarfélagið Árborg,2017,Fjölbýli,327437,1292,253.43421052631578
Sveitarfélagið Árborg,2017,Sumarhús,17000,61,278.6885245901639
Sveitarfélagið Árborg,2017,Sérbýli,224650,801,280.46192259675405
Sveitarfélagið Árborg,2018,Einbýli,470300,1931,243.55256343863283
Sveitarfélagið Árborg,2018,Fjölbýli,146400,532,275.187969924812
Sveitarfélagið Árborg,2018,Sérbýli,598200,1994,300
Sveitarfélagið Árborg,2019,Einbýli,540600,2069,261.28564523924604
Sveitarfélagið Árborg,2019,Fjölbýli,301000,819,367.5213675213675
Sveitarfélagið Árborg,2019,Sérbýli,937600,2970,315.6902356902357
Sveitarfélagið Árborg,2020,Atvinnuhúsnæði,352000,1214,289.9505766062603
Sveitarfélagið Árborg,2020,Einbýli,1484800,5191,286.0335195530726
Sveitarfélagið Árborg,2020,Fjölbýli,438550,1452,302.03168044077137
Sveitarfélagið Árborg,2020,Sérbýli,13381500,47830,279.7721095546728
Sveitarfélagið Árborg,2021,Annað,1000000,940,1063.8297872340424
Sveitarfélagið Árborg,2021,Atvinnuhúsnæði,791500,3504,225.88470319634703
Sveitarfélagið Árborg,2021,Einbýli,682950,1914,356.8181818181818
Sveitarfélagið Árborg,2021,Fjölbýli,837750,2114,396.28666035950806
Sveitarfélagið Árborg,2021,Sérbýli,1547099,3918,394.86957631444614
Sveitarfélagið Árborg,2022,Atvinnuhúsnæði,178000,676,263.31360946745565
Sveitarfélagið Árborg,2022,Einbýli,1028400,2636,390.1365705614568
Sveitarfélagið Árborg,2022,Fjölbýli,647300,1491,434.1381623071764
Sveitarfélagið Árborg,2022,Sérbýli,917650,1989,461.3624937154349
Sveitarfélagið Árborg,2023,Atvinnuhúsnæði,189500,758,250
Sveitarfélagið Árborg,2023,Einbýli,438400,964,454.7717842323651
Sveitarfélagið Árborg,2023,Fjölbýli,3948400,7638,516.9416077507201
Sveitarfélagið Árborg,2023,Sérbýli,1139200,2707,420.8348725526413
Sveitarfélagið Árborg,2024,Annað,83100,343,242.2740524781341
Sveitarfélagið Árborg,2024,Atvinnuhúsnæði,330200,1084,304.6125461254613
Sveitarfélagið Árborg,2024,Bílskúr/skúr,168500,216,780.0925925925926
Sveitarfélagið Árborg,2024,Einbýli,949900,1820,521.9230769230769
Sveitarfélagið Árborg,2024,Fjölbýli,580000,1005,577.1144278606965
Sveitarfélagið Árborg,2024,Sumarhús,31500,43,732.5581395348837
Sveitarfélagið Árborg,2024,Sérbýli,2164790,4271,506.8578787169281
Sveitarfélagið Ölfus,2006,Sérbýli,29900,149,200.6711409395973
Sveitarfélagið Ölfus,2018,Einbýli,37700,188,200.53191489361703
Sveitarfélagið Ölfus,2018,Fjölbýli,18500,83,222.89156626506025
Sveitarfélagið Ölfus,2019,Einbýli,129500,596,217.28187919463087
Sveitarfélagið Ölfus,2019,Sérbýli,133200,512,260.15625
Sveitarfélagið Ölfus,2020,Einbýli,140000,500,280
Sveitarfélagið Ölfus,2020,Fjölbýli,112800,340,331.7647058823529
Sveitarfélagið Ölfus,2020,Sérbýli,168200,607,277.1004942339374
Sveitarfélagið Ölfus,2021,Einbýli,364750,1428,255.42717086834733
Sveitarfélagið Ölfus,2021,Sérbýli,127800,417,306.47482014388487
Sveitarfélagið Ölfus,2022,Einbýli,247900,587,422.3168654173765
Sveitarfélagið Ölfus,2022,Fjölbýli,65800,145,453.7931034482759
Sveitarfélagið Ölfus,2022,Sérbýli,375450,782,480.1150895140665
Sveitarfélagið Ölfus,2023,Annað,185000,593,311.97301854974705
Sveitarfélagið Ölfus,2023,Einbýli,364200,1042,349.5201535508637
Sveitarfélagið Ölfus,2023,Fjölbýli,69500,145,479.3103448275862
Sveitarfélagið Ölfus,2023,Sumarhús,920000,1570,585.9872611464968
Sveitarfélagið Ölfus,2023,Sérbýli,57000,166,343.3734939759036
Sveitarfélagið Ölfus,2024,Annað,3500,12,291.6666666666667
Sveitarfélagið Ölfus,2024,Atvinnuhúsnæði,85000,317,268.13880126182966
Sveitarfélagið Ölfus,2024,Einbýli,934350,2368,394.57347972972974
Sveitarfélagið Ölfus,2024,Fjölbýli,38000,62,612.9032258064516
Sveitarfélagið Ölfus,2024,Sérbýli,507100,1207,420.13256006628
Vestmannaeyjabær,2010,Fjölbýli,25250,121,208.67768595041323
Vestmannaeyjabær,2012,Sumarhús,12500,46,271.7391304347826
Vestmannaeyjabær,2012,Sérbýli,36500,168,217.26190476190476
Vestmannaeyjabær,2013,Sumarhús,12500,46,271.7391304347826
Vestmannaeyjabær,2013,Sérbýli,34729,168,206.7202380952381
Vestmannaeyjabær,2014,Fjölbýli,20000,100,200
Vestmannaeyjabær,2016,Fjölbýli,612700,600,1021.1666666666666
Vestmannaeyjabær,2016,Sumarhús,15000,51,294.11764705882354
