Ár;Mánuður;Visitala_heild;Visitala_serb;Vísitala_fjölb
2008;3;352,7;382,9;345,1
2008;4;346,7;386,8;336,2
2008;5;348,5;381,3;340,1
2008;6;348,3;388;337,9
2008;7;351;391,9;340,5
2008;8;350,1;389,8;339,8
2008;9;349,4;388,8;339,2
2008;10;348,7;386,8;338,8
2008;11;347,7;391,9;336,3
2008;12;343,2;385;332,4
2009;1;337,6;376,8;327,5
2009;2;335,5;368,1;327,2
2009;3;322,6;359,8;313,1
2009;4;314,2;346,4;306
2009;5;312;354,6;301,1
2009;6;310,7;365,9;296,6
2009;7;311,7;353;301,3
2009;8;314,1;361,5;302,3
2009;9;313,9;359,7;302,5
2009;10;313,7;353,7;303,8
2009;11;309;343,1;300,6
2009;12;302,1;323,1;296,6
2010;1;303,3;333,7;295,7
2010;2;302,1;340,8;292,7
2010;3;303,5;347,3;292,9
2010;4;303;354,7;290,8
2010;5;308,9;334,3;302,4
2010;6;306,7;336,2;299,3
2010;7;302,8;325,4;296,9
2010;8;302,8;327,5;296,6
2010;9;303,9;334,5;296,2
2010;10;306,5;341,4;297,6
2010;11;306,3;338;298,2
2010;12;302,6;334,5;294,4
2011;1;304,9;333,9;297,5
2011;2;308,1;335,8;301
2011;3;309,2;331,6;303,7
2011;4;311,3;332;306,4
2011;5;319,6;346;313
2011;6;321,2;354;312,8
2011;7;320,8;357,2;311,3
2011;8;321,8;358,2;312,1
2011;9;326,1;361,5;316,9
2011;10;329,5;359,8;321,7
2011;11;329,5;365;320
2011;12;332,5;362,3;324,9
2012;1;333;364,9;324,9
2012;2;332,2;361,3;324,9
2012;3;336,2;368,9;327,8
2012;4;335,3;367,5;327
2012;5;336,4;359,3;331,1
2012;6;341,3;366,9;335,2
2012;7;344,3;366,5;339,2
2012;8;343,5;371,6;336,5
2012;9;345,8;372,9;339,1
2012;10;348,8;378,9;341,2
2012;11;350,2;378,6;343,1
2012;12;351,7;371;347,6
2013;1;350,7;367,9;347,4
2013;2;351,5;372;347,1
2013;3;351,5;374,8;346,4
2013;4;353,8;378,6;348
2013;5;358,4;379;354
2013;6;364,9;385;360,9
2013;7;367,3;391,3;361,9
2013;8;366,8;391,2;361,2
2013;9;370,1;381,4;369,1
2013;10;376,2;391,3;373,9
2013;11;377,5;384,6;377,8
2013;12;375,7;385,3;375,2
2014;1;376,8;391,1;374,7
2014;2;382,2;396,2;380,2
2014;3;390,5;403,2;389,1
2014;4;393,4;404;392,6
2014;5;392,9;399,3;393,4
2014;6;389,7;386,7;393,3
2014;7;390,8;406,2;388,4
2014;8;400,8;397,4;404,6
2014;9;401,2;394,6;405,9
2014;10;401,1;395,7;405,3
2014;11;403,7;398,4;407,7
2014;12;411,9;418,2;412,3
2015;1;416,1;424,3;415,9
2015;2;423,5;428,3;424,4
2015;3;424,9;429,6;425,8
2015;4;423,9;424,6;426,1
2015;5;428,5;429,5;430,6
2015;6;428,5;431,3;430,3
2015;7;432,3;430,7;435,2
2015;8;433,3;425;438,5
2015;9;438,5;428,6;444,2
2015;10;441,2;431,3;446,9
2015;11;442,5;435,2;447,4
2015;12;448,5;436,6;454,9
2016;1;451,4;437;458,7
2016;2;453,2;435,8;461,5
2016;3;456,5;445,1;463
2016;4;459,8;444,8;467,5
2016;5;465,1;451,9;472,8
2016;6;475,3;460,2;483,5
2016;7;485,8;470,6;494,2
2016;8;490,2;474,9;498,7
2016;9;491,8;481,9;498,7
2016;10;501,4;492,4;507,7
2016;11;508,2;491,6;517,1
2016;12;515,7;499,7;524,6
2017;1;524,8;509;533,5
2017;2;537,7;517,6;547,7
2017;3;552,1;534,9;561,4
2017;4;564,2;540,7;575,8
2017;5;574,6;545;588
2017;6;576;553,9;587
2017;7;578;560,3;587,5
2017;8;583,6;573,8;590,6
2017;9;588,4;584;593,6
2017;10;589,4;585,8;594
2017;11;585,1;584,9;588,4
2017;12;586,3;582,4;590,8
2018;1;592,1;586,4;597,2
2018;2;594,9;584,9;601,3
2018;3;594,6;578,2;602,5
2018;4;598,8;587,1;604,8
2018;5;600,9;595,3;604,9
2018;6;606;605,3;608,6
2018;7;607,9;610,4;609,6
2018;8;607,5;608,4;609,6
2018;9;611,3;609,5;614
2018;10;613,8;606,1;618,2
2018;11;619,9;616,6;623
2018;12;620,8;618,9;623,4
2019;1;623;620,5;626
2019;2;616,7;613,2;619,9
2019;3;620,2;616,4;623,5
2019;4;622,3;617;625,9
2019;5;624,1;619,2;627,6
2019;6;625,1;616,3;629,5
2019;7;625,7;623,1;628,3
2019;8;629,2;627,4;631,6
2019;9;632,9;629,1;635,9
2019;10;636,2;625,9;641
2019;11;634,6;625,7;639,1
2019;12;635;624,4;639,8
2020;1;638,3;625,8;643,6
2020;2;641,8;630,2;646,9
2020;3;642,7;619,1;651,3
2020;4;642,4;623,1;649,7
2020;5;647,8;627,1;655,7
2020;6;649;643;652,3
2020;7;656,6;651,9;659,6
2020;8;661,7;657,5;664,3
2020;9;668,3;661,7;671,2
2020;10;674,6;666,1;678
2020;11;680,1;669,6;683,8
2020;12;684,1;676;686,6
2021;1;684,7;674,8;687,6
2021;2;688,9;670,2;693,6
2021;3;711,7;703,2;713,1
2021;4;730,6;723,3;731,6
2021;5;742,2;740,3;741,8
2021;6;752,9;752,6;752,1
2021;7;757,8;775,4;752,6
