Bar,Stærð (mL),Latitude,Longitude,Meðalverð (kr),Meðal Lítraverð (kr),Gull,Gull Lite,Tuborg Grön,Tuborg Classic,Víking Gylltur,Víking Lite,Víking Lite Classic,Thule,Carlsberg,Boli,Peroni,Stella Artois,Einstök White Ale,Einstök Pale Ale,Einstök Arctic Lager,Kaldi,Ölvisholt Lite,Eldgos,Somersby,Blanc,Bríó,Garún,Helga,Snorri,Úlfrún,Úlfur,Guinness,Bóndi,Heimabrugg/Annar IPA,Mynd (url)
Bingo Drinkery,400,64.14571082891250,-21.93277906457540,1550,3875,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,https://veitingageirinn.is/wp-content/uploads/2022/11/bingo-drinkery-2.jpg
Session Craft Bar,400,64.14635780233180,-21.93330120243910,1650,4125,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,1500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/18/06/46/session-craft-bar.jpg?w=900&h=500&s=1
Prikið,500,64.14654589858090,-21.93363851792970,1590,3180,1590,1590,,1590,,,,,,,,,1590,,,,,,,,,,,,,,,,,https://visitorsguide.is/wp-content/uploads/2017/10/Priki%C3%B0.jpg
Röntgen Bar,400,64.14707809817860,-21.93281025966170,1600,4000,1500,1400,,1500,,,,,,,1700,,,,,,,,1750,,1400,,1800,,1750,,1600,,,https://images.squarespace-cdn.com/content/v1/5dce87da6ac6b320bad8fd73/1603151336157-R7ANRA47K13QA56JK3JE/27.Jan_Ma%CC%81nudjass-2+%281%29.jpg
Íslenski Barinn,500,64.14696932416530,-21.93315626461780,1640,3280,,,,,1600,1500,,,,,,,1700,,,1700,,1700,,,,,,,,,,,,https://images.myguide-cdn.com/reykjavik/companies/islenski-barinn-the-icelandic-bar/large/islenski-barinn-the-icelandic-bar-238540.jpg
Petersen svítan,400,64.14695294954580,-21.93357737142480,1410,3525,1350,1350,,1350,,,,,,,1500,,,,,,,,,1500,,,,,,,,,,https://www.therooftopguide.com/rooftop-bars-in-reykjavik/Bilder/petersen-svitan-600-1.jpg
Den Danske Kro,500,64.14636121657620,-21.93371530206500,1600,3200,1600,1600,,1600,,,,,1600,1600,,,,,,,,,1600,1600,1600,,,,1600,,1600,,,https://tinyiceland.com/wp-content/uploads/2016/02/DenDanskeKro_01.jpg
Loft,400,64.14676963733520,-21.93380946498480,1564,3911,,1490,,1490,,,,,,,,,,,,,,,1490,,1490,,1600,1600,,,,,1790,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/98/1a/fa/loft-hostel.jpg?w=700&h=-1&s=1
Lemmy,500,64.14740173810090,-21.93778799528110,1620,3240,1600,1600,,,,,,,,,,,1600,,,,,,,,,,,1650,,,1650,,,https://lemmy.world/pictrs/image/62fff5e1-cd77-454c-a8cd-395a68c7da01.webp
SKOR,400,64.14873298133640,-21.93694792085310,1450,3625,,1300,,1450,,,,,,,,,,,,,,,,,,,,1600,,,,,,https://c.arvakur.is/frimg/1/25/57/1255765.jpg
Skuggi,400,64.14727505853050,-21.93865116837120,1596,3989,1490,1550,,1550,,,,,,1550,,,,,,,,,1550,1790,,,,,,,1690,,,https://scontent-arn2-1.xx.fbcdn.net/v/t39.30808-6/431223235_347486624951088_1321030503189064021_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=127cfc&_nc_ohc=qOuh8UdaIAIQ7kNvgHE0pR8&_nc_zt=23&_nc_ht=scontent-arn2-1.xx&_nc_gid=ADjreDflHDiy09SCfYzAONc&oh=00_AYBuXotNl5f7A_ZT5jdmxe97azqkHMFT2ZIml8ZTQwJoCg&oe=6737C208
